iter	Passed	Remaining
0	1	163
1	3	157
2	4	151
3	6	146
4	7	143
5	9	143
6	10	143
7	12	142
8	14	142
9	15	139
10	17	138
11	18	137
12	20	135
13	21	133
14	23	131
15	24	130
16	26	129
17	28	127
18	29	126
19	31	124
20	32	123
21	34	122
22	36	121
23	38	120
24	39	119
25	41	118
26	43	116
27	44	115
28	46	114
29	48	112
30	49	111
31	51	109
32	53	108
33	55	107
34	57	105
35	58	104
36	60	103
37	62	102
38	64	100
39	66	99
40	68	98
41	70	97
42	72	96
43	75	95
44	77	94
45	79	92
46	81	91
47	83	90
48	85	88
49	87	87
50	89	85
51	91	84
52	93	83
53	95	81
54	97	80
55	100	78
56	102	77
57	104	75
58	106	74
59	109	72
60	111	71
61	113	69
62	115	67
63	117	66
64	120	64
65	122	63
66	125	61
67	128	60
68	130	58
69	132	56
70	134	54
71	136	53
72	138	51
73	140	49
74	142	47
75	145	45
76	147	43
77	149	42
78	151	40
79	153	38
80	155	36
81	157	34
82	159	32
83	161	30
84	162	28
85	164	26
86	166	24
87	168	23
88	170	21
89	172	19
90	173	17
91	175	15
92	176	13
93	178	11
94	180	9
95	182	7
96	183	5
97	185	3
98	187	1
99	188	0
