iter	Passed	Remaining
0	2	672
1	4	718
2	5	529
3	6	446
4	6	387
5	7	348
6	7	332
7	9	352
8	10	332
9	10	313
10	11	296
11	11	285
12	12	274
13	12	264
14	13	256
15	13	247
16	14	244
17	15	240
18	15	235
19	16	229
20	16	223
21	17	219
22	17	215
23	18	211
24	18	208
25	19	205
26	19	201
27	20	199
28	21	197
29	21	195
30	22	192
31	22	190
32	23	188
33	23	187
34	24	185
35	25	184
36	25	182
37	26	181
38	26	180
39	27	178
40	28	176
41	28	175
42	29	174
43	29	173
44	30	172
45	30	170
46	31	168
47	31	167
48	32	165
49	32	164
50	33	163
51	33	162
52	34	160
53	35	159
54	35	158
55	36	157
56	36	156
57	37	155
58	37	154
59	38	153
60	39	153
61	39	152
62	40	150
63	40	149
64	41	149
65	42	149
66	42	148
67	43	147
68	43	146
69	44	146
70	45	145
71	45	144
72	46	143
73	46	142
74	47	141
75	47	141
76	48	140
77	49	139
78	49	139
79	50	139
80	51	138
81	51	138
82	52	137
83	53	136
84	53	136
85	54	135
86	54	134
87	55	133
88	56	133
89	56	132
90	57	131
91	57	130
92	58	129
93	58	129
94	59	128
95	60	127
96	60	127
97	61	126
98	61	125
99	62	124
100	63	124
101	63	123
102	64	122
103	64	121
104	65	120
105	65	120
106	66	119
107	66	118
108	67	118
109	68	117
110	68	116
111	69	116
112	69	115
113	70	114
114	70	114
115	71	113
116	71	112
117	72	112
118	73	111
119	73	110
120	74	110
121	75	109
122	75	108
123	76	108
124	76	107
125	77	106
126	77	106
127	78	105
128	79	105
129	80	105
130	80	104
131	81	103
132	82	103
133	82	102
134	83	101
135	83	100
136	84	100
137	84	99
138	85	98
139	85	98
140	86	97
141	86	96
142	87	96
143	88	95
144	88	95
145	89	94
146	90	93
147	90	93
148	91	92
149	91	91
150	92	91
151	92	90
152	93	89
153	94	89
154	94	88
155	95	87
156	95	87
157	96	86
158	97	86
159	97	85
160	98	84
161	98	84
162	99	83
163	99	82
164	100	82
165	101	81
166	101	80
167	102	80
168	102	79
169	103	79
170	103	78
171	104	77
172	105	77
173	105	76
174	106	76
175	107	75
176	107	74
177	108	74
178	108	73
179	109	72
180	109	72
181	110	71
182	111	71
183	111	70
184	112	69
185	112	69
186	113	68
187	114	67
188	114	67
189	115	66
190	116	66
191	116	65
192	117	64
193	117	64
194	118	63
195	118	63
196	119	62
197	119	61
198	120	61
199	121	60
200	121	59
201	122	59
202	122	58
203	123	57
204	123	57
205	124	56
206	124	55
207	125	55
208	125	54
209	126	54
210	126	53
211	127	52
212	127	52
213	128	51
214	128	50
215	129	50
216	129	49
217	130	49
218	131	48
219	131	47
220	132	47
221	132	46
222	133	45
223	133	45
224	134	44
225	134	44
226	135	43
227	135	42
228	136	42
229	136	41
230	137	41
231	137	40
232	138	39
233	138	39
234	139	38
235	139	37
236	140	37
237	140	36
238	141	36
239	142	35
240	142	34
241	142	34
242	143	33
243	143	33
244	144	32
245	145	31
246	145	31
247	145	30
248	146	30
249	146	29
250	147	28
251	148	28
252	148	27
253	149	27
254	149	26
255	150	25
256	151	25
257	151	24
258	152	24
259	152	23
260	153	22
261	153	22
262	154	21
263	154	21
264	155	20
265	155	19
266	156	19
267	156	18
268	157	18
269	157	17
270	158	16
271	158	16
272	159	15
273	159	15
274	160	14
275	160	13
276	161	13
277	161	12
278	161	12
279	162	11
280	162	11
281	163	10
282	163	9
283	164	9
284	164	8
285	164	8
286	165	7
287	165	6
288	166	6
289	166	5
290	167	5
291	167	4
292	168	4
293	168	3
294	169	2
295	169	2
296	170	1
297	170	1
298	170	0
299	171	0
